Wavenumber,Intensity
3999.706,3.978348
4001.634,3.981889
4003.563,3.982906
4005.491,3.983276
4007.42,3.983111
4009.348,3.975515
4011.277,3.96935
4013.205,3.962015
4015.134,3.946786
4017.062,3.93409
4018.991,3.928217
4020.919,3.922702
4022.848,3.920413
4024.776,3.926612
4026.705,3.932379
4028.633,3.936825
4030.562,3.938458
4032.49,3.939878
4034.419,3.941154
4036.347,3.939762
4038.276,3.937955
4040.204,3.94035
4042.133,3.942029
4044.061,3.941464
4045.99,3.939381
4047.918,3.940286
4049.847,3.940504
4051.775,3.941967
4053.704,3.943816
4055.632,3.943729
4057.561,3.941515
4059.489,3.940124
4061.418,3.943373
4063.346,3.946574
4065.275,3.946043
4067.203,3.944615
4069.132,3.938954
4071.06,3.935638
4072.989,3.933552
4074.917,3.936688
4076.846,3.940008
4078.774,3.935373
4080.703,3.930391
4082.631,3.926909
4084.56,3.926597
4086.488,3.927378
4088.417,3.923622
4090.345,3.916572
4092.274,3.913732
4094.202,3.914482
4096.131,3.914805
4098.059,3.916995
4099.988,3.915937
4101.916,3.915339
4103.845,3.917075
4105.773,3.917552
4107.702,3.914897
4109.63,3.917731
4111.559,3.920031
4113.487,3.923066
4115.416,3.925569
4117.344,3.923381
4119.273,3.921775
4121.201,3.925845
4123.13,3.928714
4125.058,3.92832
4126.987,3.92345
4128.915,3.923098
4130.844,3.927491
4132.772,3.929341
4134.701,3.926601
4136.629,3.925897
4138.558,3.927237
4140.486,3.929502
4142.415,3.931528
4144.343,3.93291
4146.271,3.931248
4148.2,3.929065
4150.129,3.931289
4152.057,3.932483
4153.986,3.933782
4155.914,3.936564
4157.843,3.938947
4159.771,3.938083
4161.7,3.94029
4163.628,3.940761
4165.557,3.936944
4167.485,3.93898
4169.414,3.943186
4171.342,3.94412
4173.271,3.94521
4175.199,3.947367
4177.127,3.951979
4179.056,3.953651
4180.985,3.95137
4182.913,3.953356
4184.842,3.952665
4186.77,3.952613
4188.699,3.956657
4190.627,3.963446
4192.556,3.9705
4194.484,3.970624
4196.413,3.969806
4198.341,3.977
4200.27,3.984967
4202.198,3.991805
4204.126,3.996189
4206.055,4.001756
4207.983,4.007791
4209.912,4.010077
4211.841,4.014259
4213.769,4.015153
4215.698,4.013876
4217.626,4.0123
4219.555,4.014551
4221.483,4.020029
4223.412,4.02582
4225.34,4.030244
4227.269,4.035308
4229.197,4.042635
4231.125,4.048839
4233.054,4.053484
4234.982,4.054375
4236.911,4.053895
4238.84,4.051537
4240.768,4.048704
4242.697,4.042304
4244.625,4.03232
4246.554,4.020556
4248.482,4.017576
4250.411,4.019885
4252.339,4.020573
4254.268,4.022011
4256.196,4.033528
4258.125,4.04475
4260.053,4.051879
4261.981,4.060672
4263.91,4.075315
4265.838,4.087141
4267.767,4.094759
4269.696,4.10094
4271.624,4.105677
4273.553,4.109485
4275.481,4.117493
4277.41,4.123482
4279.338,4.124116
4281.267,4.127495
4283.195,4.133966
4285.124,4.136669
4287.052,4.143466
4288.98,4.149196
4290.909,4.156388
4292.837,4.161473
4294.766,4.166398
4296.694,4.168602
4298.623,4.167638
4300.552,4.16251
4302.48,4.155709
4304.409,4.143078
4306.337,4.129751
4308.266,4.11453
4310.194,4.10029
4312.123,4.08579
4314.051,4.071036
4315.979,4.058222
4317.908,4.053071
4319.836,4.049243
4321.765,4.046875
4323.693,4.044492
4325.622,4.045386
4327.551,4.048492
4329.479,4.054021
4331.408,4.057481
4333.336,4.061486
4335.265,4.065735
4337.193,4.066468
4339.122,4.068624
4341.05,4.075682
4342.979,4.083392
4344.907,4.091527
4346.835,4.106275
4348.764,4.120394
4350.692,4.129462
4352.621,4.140236
4354.549,4.158628
4356.478,4.170948
4358.407,4.181104
4360.335,4.188898
4362.264,4.197648
4364.192,4.211982
4366.121,4.219097
4368.049,4.226076
4369.978,4.233265
4371.906,4.246348
4373.834,4.260219
4375.763,4.272129
4377.691,4.281854
4379.62,4.296345
4381.548,4.314091
4383.477,4.326861
4385.405,4.339577
4387.334,4.358385
4389.263,4.379251
4391.191,4.396419
4393.12,4.416984
4395.048,4.440351
4396.977,4.459696
4398.905,4.479198
4400.833,4.506037
4402.762,4.530396
4404.69,4.553522
4406.619,4.582272
4408.547,4.609159
4410.476,4.634275
4412.404,4.658853
4414.333,4.685165
4416.262,4.707883
4418.19,4.731233
4420.119,4.752443
4422.047,4.771132
4423.976,4.7914
4425.904,4.813005
4427.833,4.826869
4429.761,4.840652
4431.689,4.853657
4433.618,4.866799
4435.546,4.881468
4437.475,4.898715
4439.403,4.910454
4441.332,4.925756
4443.26,4.946767
4445.189,4.967149
4447.117,4.992867
4449.046,5.018948
4450.975,5.044927
4452.903,5.069559
4454.832,5.095253
4456.76,5.125205
4458.688,5.148064
4460.617,5.168095
4462.545,5.19272
4464.474,5.212348
4466.402,5.232613
4468.331,5.250075
4470.259,5.263675
4472.188,5.276989
4474.116,5.291948
4476.045,5.313726
4477.974,5.333738
4479.902,5.357141
4481.831,5.381894
4483.759,5.406122
4485.688,5.429276
4487.616,5.451707
4489.544,5.476021
4491.473,5.501573
4493.401,5.526359
4495.33,5.551656
4497.258,5.572851
4499.187,5.594679
4501.115,5.620016
4503.044,5.643936
4504.972,5.66787
4506.901,5.691963
4508.83,5.717186
4510.758,5.744602
4512.687,5.77161
4514.615,5.795994
4516.543,5.821047
4518.472,5.8442
4520.4,5.868873
4522.329,5.891617
4524.257,5.913382
4526.186,5.936228
4528.114,5.956152
4530.043,5.978492
4531.971,6.002699
4533.9,6.024114
4535.828,6.04666
4537.757,6.070516
4539.686,6.096006
4541.614,6.12111
4543.542,6.148072
4545.471,6.171504
4547.399,6.196374
4549.328,6.2205
4551.256,6.243609
4553.185,6.270059
4555.113,6.298471
4557.042,6.330559
4558.97,6.359962
4560.899,6.387545
4562.827,6.414387
4564.756,6.443729
4566.685,6.464432
4568.613,6.483941
4570.542,6.502059
4572.47,6.520484
4574.398,6.541971
4576.327,6.559571
4578.255,6.574058
4580.184,6.58631
4582.112,6.599034
4584.041,6.613301
4585.969,6.6253
4587.898,6.635145
4589.826,6.645721
4591.755,6.656365
4593.683,6.662422
4595.612,6.666389
4597.54,6.67451
4599.469,6.680063
4601.397,6.683849
4603.326,6.689464
4605.254,6.696753
4607.183,6.705219
4609.111,6.714125
4611.04,6.721357
4612.968,6.726582
4614.897,6.735241
4616.825,6.7453
4618.754,6.756396
4620.682,6.76666
4622.611,6.780666
4624.539,6.793198
4626.468,6.801616
4628.396,6.809628
4630.325,6.813652
4632.253,6.817483
4634.182,6.820557
4636.11,6.822824
4638.039,6.827672
4639.967,6.829198
4641.896,6.82865
4643.824,6.826938
4645.753,6.826872
4647.681,6.821589
4649.61,6.814987
4651.538,6.805996
4653.467,6.790758
4655.396,6.77146
4657.324,6.749009
4659.252,6.717237
4661.181,6.681436
4663.109,6.646241
4665.038,6.617591
4666.966,6.605103
4668.895,6.60741
4670.823,6.62072
4672.752,6.649901
4674.68,6.692267
4676.609,6.7399
4678.537,6.777399
4680.466,6.809997
4682.394,6.838446
4684.323,6.859299
4686.251,6.876094
4688.18,6.890813
4690.108,6.900578
4692.037,6.904886
4693.965,6.906198
4695.894,6.905808
4697.822,6.909121
4699.751,6.908004
4701.679,6.904991
4703.608,6.902642
4705.536,6.895676
4707.465,6.886744
4709.393,6.873052
4711.322,6.859289
4713.25,6.843227
4715.179,6.829058
4717.107,6.814628
4719.036,6.797357
4720.964,6.78724
4722.893,6.77795
4724.821,6.763143
4726.75,6.749924
4728.678,6.740888
4730.606,6.731781
4732.535,6.723236
4734.464,6.72222
4736.392,6.718812
4738.321,6.719553
4740.249,6.716613
4742.178,6.704991
4744.106,6.69509
4746.035,6.690001
4747.963,6.682201
4749.892,6.674376
4751.82,6.664057
4753.749,6.654709
4755.677,6.643955
4757.605,6.630425
4759.534,6.617302
4761.463,6.602038
4763.391,6.586223
4765.32,6.568977
4767.248,6.548175
4769.177,6.520882
4771.105,6.48995
4773.034,6.464998
4774.962,6.441065
4776.891,6.420604
4778.819,6.405135
4780.748,6.395014
4782.676,6.387872
4784.604,6.382313
4786.533,6.381346
4788.462,6.376575
4790.39,6.368035
4792.319,6.361896
4794.247,6.353374
4796.176,6.345583
4798.104,6.338001
4800.033,6.325631
4801.961,6.313776
4803.89,6.298586
4805.818,6.282004
4807.747,6.265277
4809.675,6.248595
4811.604,6.230479
4813.532,6.209684
4815.46,6.189456
4817.389,6.168179
4819.317,6.147276
4821.246,6.131436
4823.175,6.116194
4825.103,6.10303
4827.032,6.09399
4828.96,6.078026
4830.889,6.061807
4832.817,6.048879
4834.746,6.035392
4836.674,6.021311
4838.603,6.004617
4840.531,5.986005
4842.459,5.962835
4844.388,5.941843
4846.316,5.922256
4848.245,5.899244
4850.174,5.875498
4852.102,5.853977
4854.031,5.83684
4855.959,5.818897
4857.888,5.797757
4859.816,5.780046
4861.745,5.768257
4863.673,5.756044
4865.602,5.747149
4867.53,5.741894
4869.458,5.740455
4871.387,5.740674
4873.315,5.742706
4875.244,5.749858
4877.172,5.757737
4879.101,5.764029
4881.03,5.767004
4882.958,5.775171
4884.887,5.782965
4886.815,5.791469
4888.744,5.798562
4890.672,5.80829
4892.601,5.818208
4894.529,5.82526
4896.458,5.829938
4898.386,5.831195
4900.314,5.835885
4902.243,5.841376
4904.171,5.848465
4906.1,5.852852
4908.028,5.853362
4909.957,5.855052
4911.886,5.856684
4913.814,5.856203
4915.743,5.857999
4917.671,5.859308
4919.6,5.857004
4921.528,5.855518
4923.457,5.85483
4925.385,5.852173
4927.313,5.847952
4929.242,5.846132
4931.17,5.844481
4933.099,5.844239
4935.027,5.846944
4936.956,5.847057
4938.885,5.844508
4940.813,5.838136
4942.742,5.82775
4944.67,5.815216
4946.599,5.800964
4948.527,5.780041
4950.456,5.753505
4952.384,5.723503
4954.313,5.686323
4956.241,5.640083
4958.169,5.595104
4960.098,5.561339
4962.026,5.540694
4963.955,5.532094
4965.883,5.537853
4967.812,5.551568
4969.74,5.570315
4971.669,5.588399
4973.598,5.601605
4975.526,5.610733
4977.455,5.617767
4979.383,5.628126
4981.312,5.640473
4983.24,5.65451
4985.168,5.670529
4987.097,5.683922
4989.025,5.702211
4990.954,5.718131
4992.882,5.735545
4994.811,5.755591
4996.739,5.779522
4998.668,5.804865
5000.597,5.830095
5002.525,5.850045
5004.454,5.87078
5006.382,5.884838
5008.311,5.893568
5010.239,5.897214
5012.167,5.895696
5014.096,5.892632
5016.024,5.893384
5017.953,5.895734
5019.881,5.898682
5021.81,5.906689
5023.738,5.91319
5025.667,5.921893
5027.596,5.933668
5029.524,5.938893
5031.452,5.946575
5033.381,5.950441
5035.31,5.949193
5037.238,5.950816
5039.167,5.950926
5041.095,5.950578
5043.023,5.951585
5044.952,5.952126
5046.88,5.951246
5048.809,5.947809
5050.737,5.939055
5052.666,5.930162
5054.595,5.919849
5056.523,5.907092
5058.451,5.894228
5060.38,5.881673
5062.309,5.872829
5064.237,5.869971
5066.166,5.870287
5068.094,5.872556
5070.022,5.877222
5071.951,5.879986
5073.879,5.877971
5075.808,5.87898
5077.736,5.877564
5079.665,5.873555
5081.593,5.866796
5083.522,5.861997
5085.45,5.858618
5087.379,5.852598
5089.308,5.847538
5091.236,5.845233
5093.165,5.841857
5095.093,5.837951
5097.021,5.833879
5098.95,5.83068
5100.878,5.830183
5102.807,5.833368
5104.735,5.837724
5106.664,5.843767
5108.592,5.849798
5110.521,5.854894
5112.449,5.862139
5114.378,5.868826
5116.307,5.872347
5118.235,5.873471
5120.163,5.876369
5122.092,5.88056
5124.021,5.885827
5125.949,5.891708
5127.877,5.896409
5129.806,5.899724
