Wavenumber,Intensity
3999.706,2.476617
4001.634,2.471689
4003.563,2.471658
4005.491,2.475127
4007.42,2.478443
4009.348,2.481098
4011.277,2.479494
4013.205,2.475791
4015.134,2.476911
4017.062,2.482239
4018.991,2.4862
4020.919,2.486908
4022.848,2.486686
4024.776,2.487675
4026.705,2.489543
4028.633,2.489765
4030.562,2.486416
4032.49,2.486628
4034.419,2.489048
4036.347,2.488107
4038.276,2.486266
4040.204,2.490335
4042.133,2.488864
4044.061,2.493395
4045.99,2.496689
4047.918,2.497216
4049.847,2.497043
4051.775,2.49662
4053.704,2.499122
4055.632,2.502631
4057.561,2.502834
4059.489,2.497842
4061.418,2.497997
4063.346,2.502105
4065.275,2.50276
4067.203,2.500861
4069.132,2.501416
4071.06,2.50531
4072.989,2.505346
4074.917,2.506711
4076.846,2.509567
4078.774,2.512391
4080.703,2.510345
4082.631,2.507933
4084.56,2.506642
4086.488,2.506387
4088.417,2.507118
4090.345,2.507605
4092.274,2.510706
4094.202,2.511515
4096.131,2.506874
4098.059,2.506264
4099.988,2.510123
4101.916,2.512033
4103.845,2.512736
4105.773,2.511424
4107.702,2.508003
4109.63,2.51006
4111.559,2.513271
4113.487,2.512271
4115.416,2.512375
4117.344,2.516371
4119.273,2.515994
4121.201,2.515875
4123.13,2.516659
4125.058,2.515256
4126.987,2.517855
4128.915,2.519338
4130.844,2.517628
4132.772,2.520288
4134.701,2.520092
4136.629,2.515677
4138.558,2.515252
4140.486,2.517279
4142.415,2.521316
4144.343,2.521389
4146.271,2.519259
4148.2,2.519847
4150.129,2.520026
4152.057,2.522961
4153.986,2.522786
4155.914,2.52485
4157.843,2.526192
4159.771,2.521657
4161.7,2.52124
4163.628,2.522585
4165.557,2.523747
4167.485,2.525348
4169.414,2.527311
4171.342,2.530258
4173.271,2.532701
4175.199,2.53418
4177.127,2.5359
4179.056,2.534674
4180.985,2.536908
4182.913,2.536559
4184.842,2.537039
4186.77,2.537948
4188.699,2.540156
4190.627,2.543768
4192.556,2.542373
4194.484,2.547914
4196.413,2.551765
4198.341,2.548765
4200.27,2.550642
4202.198,2.554718
4204.126,2.557041
4206.055,2.557652
4207.983,2.56051
4209.912,2.5629
4211.841,2.564517
4213.769,2.566208
4215.698,2.571025
4217.626,2.574026
4219.555,2.573717
4221.483,2.575436
4223.412,2.575754
4225.34,2.573907
4227.269,2.574881
4229.197,2.577367
4231.125,2.578946
4233.054,2.578239
4234.982,2.581312
4236.911,2.58749
4238.84,2.58779
4240.768,2.585567
4242.697,2.587843
4244.625,2.586805
4246.554,2.585418
4248.482,2.586309
4250.411,2.584905
4252.339,2.582996
4254.268,2.583085
4256.196,2.583538
4258.125,2.587031
4260.053,2.5937
4261.981,2.594699
4263.91,2.595142
4265.838,2.596565
4267.767,2.600399
4269.696,2.602727
4271.624,2.601675
4273.553,2.602568
4275.481,2.600674
4277.41,2.601408
4279.338,2.604658
4281.267,2.60964
4283.195,2.611538
4285.124,2.612744
4287.052,2.612018
4288.98,2.611099
4290.909,2.611335
4292.837,2.612934
4294.766,2.613456
4296.694,2.613945
4298.623,2.613538
4300.552,2.612654
4302.48,2.609907
4304.409,2.612432
4306.337,2.612389
4308.266,2.611126
4310.194,2.61317
4312.123,2.611933
4314.051,2.608378
4315.979,2.604445
4317.908,2.601559
4319.836,2.600092
4321.765,2.59821
4323.693,2.594727
4325.622,2.597514
4327.551,2.60029
4329.479,2.601033
4331.408,2.599186
4333.336,2.600482
4335.265,2.603452
4337.193,2.606882
4339.122,2.609189
4341.05,2.609632
4342.979,2.609158
4344.907,2.611211
4346.835,2.609587
4348.764,2.610966
4350.692,2.613789
4352.621,2.617415
4354.549,2.618058
4356.478,2.620603
4358.407,2.619328
4360.335,2.620564
4362.264,2.621759
4364.192,2.620296
4366.121,2.620441
4368.049,2.622533
4369.978,2.621415
4371.906,2.621154
4373.834,2.622569
4375.763,2.622194
