Wavenumber,Intensity
3999.706,3.349011
4001.634,3.342343
4003.563,3.339376
4005.491,3.338887
4007.42,3.340372
4009.348,3.340041
4011.277,3.335147
4013.205,3.324935
4015.134,3.3126
4017.062,3.307272
4018.991,3.303064
4020.919,3.302081
4022.848,3.307028
4024.776,3.30691
4026.705,3.306122
4028.633,3.313596
4030.562,3.314971
4032.49,3.318464
4034.419,3.318805
4036.347,3.31501
4038.276,3.311585
4040.204,3.319426
4042.133,3.32409
4044.061,3.326153
4045.99,3.322555
4047.918,3.317636
4049.847,3.315742
4051.775,3.31775
4053.704,3.317813
4055.632,3.320587
4057.561,3.321522
4059.489,3.319101
4061.418,3.320476
4063.346,3.324804
4065.275,3.323249
4067.203,3.319272
4069.132,3.320325
4071.06,3.323966
4072.989,3.323002
4074.917,3.321444
4076.846,3.320256
4078.774,3.320501
4080.703,3.318665
4082.631,3.315309
4084.56,3.309912
4086.488,3.30642
4088.417,3.30685
4090.345,3.3034
4092.274,3.305194
4094.202,3.304265
4096.131,3.30051
4098.059,3.300868
4099.988,3.304997
4101.916,3.307345
4103.845,3.309298
4105.773,3.308464
4107.702,3.305848
4109.63,3.308027
4111.559,3.309772
4113.487,3.308224
4115.416,3.310629
4117.344,3.31572
4119.273,3.312431
4121.201,3.308321
4123.13,3.311683
4125.058,3.310469
4126.987,3.31235
4128.915,3.316584
4130.844,3.315977
4132.772,3.316109
4134.701,3.318531
4136.629,3.313397
4138.558,3.312124
4140.486,3.3153
4142.415,3.314545
4144.343,3.311222
4146.271,3.310761
4148.2,3.312442
4150.129,3.312847
4152.057,3.314035
4153.986,3.313972
4155.914,3.317747
4157.843,3.319875
4159.771,3.31739
4161.7,3.319358
4163.628,3.323014
4165.557,3.323802
4167.485,3.326257
4169.414,3.327248
4171.342,3.33099
4173.271,3.331283
4175.199,3.330627
4177.127,3.332217
4179.056,3.334415
4180.985,3.334742
4182.913,3.337051
4184.842,3.338387
4186.77,3.339446
4188.699,3.339942
4190.627,3.339584
4192.556,3.341514
4194.484,3.348855
4196.413,3.352951
4198.341,3.352918
4200.27,3.35809
4202.198,3.362883
4204.126,3.367517
4206.055,3.370228
4207.983,3.372028
4209.912,3.376168
4211.841,3.377758
4213.769,3.378763
4215.698,3.383299
4217.626,3.386881
4219.555,3.383504
4221.483,3.386519
4223.412,3.390072
4225.34,3.390286
4227.269,3.39409
4229.197,3.401729
4231.125,3.407122
4233.054,3.40911
4234.982,3.411764
4236.911,3.414638
4238.84,3.412422
4240.768,3.40437
4242.697,3.40257
4244.625,3.39746
4246.554,3.388994
4248.482,3.386725
4250.411,3.385866
4252.339,3.386558
4254.268,3.391629
4256.196,3.397661
4258.125,3.402337
4260.053,3.412439
4261.981,3.421779
4263.91,3.429136
4265.838,3.437979
4267.767,3.444268
4269.696,3.444627
4271.624,3.448515
4273.553,3.456514
4275.481,3.460703
4277.41,3.46273
4279.338,3.466987
4281.267,3.47117
4283.195,3.471534
4285.124,3.473883
4287.052,3.479251
4288.98,3.48192
4290.909,3.488395
4292.837,3.493423
4294.766,3.496429
4296.694,3.498824
4298.623,3.499157
4300.552,3.496028
4302.48,3.490447
4304.409,3.485214
4306.337,3.474181
4308.266,3.463275
4310.194,3.451258
4312.123,3.438905
4314.051,3.427745
4315.979,3.416368
4317.908,3.408232
4319.836,3.403582
4321.765,3.403291
4323.693,3.403447
4325.622,3.403687
4327.551,3.407242
4329.479,3.413531
4331.408,3.415058
4333.336,3.417265
4335.265,3.421799
4337.193,3.427796
4339.122,3.432703
4341.05,3.435447
4342.979,3.435386
4344.907,3.440776
4346.835,3.447589
4348.764,3.460823
4350.692,3.472312
4352.621,3.484148
4354.549,3.494217
4356.478,3.504443
4358.407,3.50972
4360.335,3.515802
4362.264,3.521403
4364.192,3.526374
4366.121,3.535651
4368.049,3.544263
4369.978,3.550334
4371.906,3.560932
4373.834,3.571863
4375.763,3.579137
4377.691,3.583836
4379.62,3.595049
4381.548,3.610984
4383.477,3.620276
4385.405,3.62678
4387.334,3.641482
4389.263,3.660733
4391.191,3.67512
4393.12,3.691063
4395.048,3.709728
4396.977,3.724427
4398.905,3.741889
4400.833,3.760916
4402.762,3.781922
4404.69,3.803249
4406.619,3.82612
4408.547,3.848173
4410.476,3.87134
4412.404,3.892898
4414.333,3.909982
4416.262,3.924567
4418.19,3.943053
4420.119,3.960598
4422.047,3.979367
4423.976,3.995009
4425.904,4.009864
4427.833,4.025636
4429.761,4.036541
4431.689,4.042762
4433.618,4.052711
4435.546,4.066289
4437.475,4.080677
4439.403,4.096223
4441.332,4.109043
4443.26,4.121935
4445.189,4.140504
4447.117,4.160367
4449.046,4.178923
4450.975,4.197865
4452.903,4.217825
4454.832,4.238516
4456.76,4.259456
4458.688,4.277466
4460.617,4.297199
4462.545,4.316649
4464.474,4.331172
4466.402,4.347731
4468.331,4.361846
4470.259,4.373673
4472.188,4.386072
4474.116,4.400944
4476.045,4.418092
4477.974,4.43298
4479.902,4.451564
4481.831,4.471562
4483.759,4.492191
4485.688,4.51321
4487.616,4.530262
4489.544,4.550475
4491.473,4.573326
4493.401,4.594104
4495.33,4.613867
4497.258,4.631163
4499.187,4.650505
4501.115,4.672467
4503.044,4.692001
4504.972,4.711843
4506.901,4.734538
4508.83,4.755447
4510.758,4.778862
4512.687,4.801073
4514.615,4.819967
4516.543,4.838769
4518.472,4.856933
4520.4,4.880169
4522.329,4.901146
4524.257,4.917458
4526.186,4.934388
4528.114,4.953816
4530.043,4.974296
4531.971,4.991629
4533.9,5.012196
4535.828,5.034446
4537.757,5.056357
4539.686,5.077754
4541.614,5.097674
4543.542,5.117774
4545.471,5.141484
4547.399,5.162242
4549.328,5.183792
4551.256,5.207448
4553.185,5.230921
4555.113,5.253801
4557.042,5.27758
4558.97,5.305352
4560.899,5.330066
4562.827,5.352566
4564.756,5.37494
4566.685,5.395965
4568.613,5.417964
4570.542,5.437064
4572.47,5.453906
4574.398,5.467494
4576.327,5.485381
4578.255,5.498859
4580.184,5.506973
4582.112,5.520462
4584.041,5.532412
4585.969,5.544197
4587.898,5.554496
4589.826,5.561301
4591.755,5.5692
4593.683,5.577243
4595.612,5.584321
4597.54,5.59154
4599.469,5.594182
