Wavenumber,Intensity
3999.706,4.465402
4001.634,4.461562
4003.563,4.463273
4005.491,4.465645
4007.42,4.473423
4009.348,4.478302
4011.277,4.472533
4013.205,4.472218
4015.134,4.470742
4017.062,4.472375
4018.991,4.472915
4020.919,4.476656
4022.848,4.478275
4024.776,4.481451
4026.705,4.483729
4028.633,4.483663
4030.562,4.48034
4032.49,4.480919
4034.419,4.483256
4036.347,4.480888
4038.276,4.47667
4040.204,4.478431
4042.133,4.478925
4044.061,4.483229
4045.99,4.481832
4047.918,4.476881
4049.847,4.475906
4051.775,4.475172
4053.704,4.473067
4055.632,4.473742
4057.561,4.47286
4059.489,4.468169
4061.418,4.469866
4063.346,4.477944
4065.275,4.480322
4067.203,4.479004
4069.132,4.482027
4071.06,4.489157
4072.989,4.492664
4074.917,4.495751
4076.846,4.499872
4078.774,4.504264
4080.703,4.505527
4082.631,4.503312
4084.56,4.50184
4086.488,4.508532
4088.417,4.513618
4090.345,4.514134
4092.274,4.516982
4094.202,4.516849
4096.131,4.513342
4098.059,4.513268
4099.988,4.518022
4101.916,4.523077
4103.845,4.522149
4105.773,4.518366
4107.702,4.515288
4109.63,4.516261
4111.559,4.518699
4113.487,4.516749
4115.416,4.51582
4117.344,4.519067
4119.273,4.520254
4121.201,4.518329
4123.13,4.518425
4125.058,4.518186
4126.987,4.523005
4128.915,4.526552
4130.844,4.52496
4132.772,4.529466
4134.701,4.533272
4136.629,4.52595
4138.558,4.523303
4140.486,4.526797
4142.415,4.528141
4144.343,4.525503
4146.271,4.523852
4148.2,4.528135
4150.129,4.530982
4152.057,4.530277
4153.986,4.527684
4155.914,4.528704
4157.843,4.529627
4159.771,4.526825
4161.7,4.528698
4163.628,4.529555
4165.557,4.530727
4167.485,4.534093
4169.414,4.537717
4171.342,4.540453
4173.271,4.542392
4175.199,4.546229
4177.127,4.550475
4179.056,4.553872
4180.985,4.554157
4182.913,4.557619
4184.842,4.562475
4186.77,4.564529
4188.699,4.567186
4190.627,4.568669
4192.556,4.569798
4194.484,4.573334
4196.413,4.576307
4198.341,4.576493
4200.27,4.577748
4202.198,4.578709
4204.126,4.583511
4206.055,4.58542
4207.983,4.589579
4209.912,4.595651
4211.841,4.600648
4213.769,4.602669
4215.698,4.606025
4217.626,4.611538
4219.555,4.612082
4221.483,4.612193
4223.412,4.614573
4225.34,4.614062
4227.269,4.612479
4229.197,4.616168
4231.125,4.621721
4233.054,4.622777
4234.982,4.622108
4236.911,4.622464
4238.84,4.625138
4240.768,4.624571
4242.697,4.626092
4244.625,4.625961
4246.554,4.62636
4248.482,4.630508
4250.411,4.635442
4252.339,4.639793
4254.268,4.643678
4256.196,4.645768
4258.125,4.648283
4260.053,4.652689
4261.981,4.656089
4263.91,4.655267
4265.838,4.65716
4267.767,4.662336
4269.696,4.663647
4271.624,4.662218
4273.553,4.662271
4275.481,4.661434
4277.41,4.665043
4279.338,4.670379
4281.267,4.675455
4283.195,4.67683
4285.124,4.675601
4287.052,4.675605
4288.98,4.677099
4290.909,4.678395
4292.837,4.676466
4294.766,4.675474
4296.694,4.674746
4298.623,4.673815
4300.552,4.674132
4302.48,4.674832
4304.409,4.673724
4306.337,4.669468
4308.266,4.66897
4310.194,4.671556
4312.123,4.671437
4314.051,4.669066
4315.979,4.667298
4317.908,4.665444
4319.836,4.666265
4321.765,4.667267
4323.693,4.668177
4325.622,4.66958
4327.551,4.669604
4329.479,4.671064
4331.408,4.671257
4333.336,4.673167
4335.265,4.674558
4337.193,4.679209
4339.122,4.686481
4341.05,4.689551
4342.979,4.692116
4344.907,4.69805
4346.835,4.698162
4348.764,4.70168
4350.692,4.708578
4352.621,4.716083
4354.549,4.71902
4356.478,4.719649
4358.407,4.71914
4360.335,4.718523
