Wavenumber,Intensity
3999.706,2.856812
4001.634,2.858297
4003.563,2.859798
4005.491,2.863357
4007.42,2.865387
4009.348,2.864395
4011.277,2.86742
4013.205,2.866833
4015.134,2.866333
4017.062,2.873031
4018.991,2.874176
4020.919,2.869166
4022.848,2.865856
4024.776,2.869982
4026.705,2.876191
4028.633,2.877229
4030.562,2.873952
4032.49,2.875263
4034.419,2.877132
4036.347,2.876914
4038.276,2.876389
4040.204,2.879487
4042.133,2.882434
4044.061,2.881123
4045.99,2.880645
4047.918,2.884976
4049.847,2.881068
4051.775,2.880327
4053.704,2.883205
4055.632,2.884205
4057.561,2.88192
4059.489,2.877035
4061.418,2.879593
4063.346,2.888512
4065.275,2.894498
4067.203,2.893923
4069.132,2.886039
4071.06,2.8864
4072.989,2.888794
4074.917,2.891687
4076.846,2.891827
4078.774,2.889475
4080.703,2.892612
4082.631,2.895581
4084.56,2.895449
4086.488,2.896743
4088.417,2.897786
4090.345,2.898238
4092.274,2.897556
4094.202,2.904593
4096.131,2.90677
4098.059,2.906927
4099.988,2.903971
4101.916,2.903827
4103.845,2.907208
4105.773,2.906802
4107.702,2.905747
4109.63,2.905188
4111.559,2.904512
4113.487,2.903762
4115.416,2.903846
4117.344,2.907682
4119.273,2.905083
4121.201,2.906928
4123.13,2.910059
4125.058,2.912013
4126.987,2.907539
4128.915,2.906611
4130.844,2.911777
4132.772,2.913072
4134.701,2.91332
4136.629,2.915208
4138.558,2.917252
4140.486,2.916863
4142.415,2.916319
4144.343,2.916222
4146.271,2.9173
4148.2,2.915627
4150.129,2.914044
4152.057,2.913553
4153.986,2.916798
4155.914,2.917758
4157.843,2.916407
4159.771,2.918896
4161.7,2.920797
4163.628,2.919015
4165.557,2.918517
4167.485,2.918554
4169.414,2.920135
4171.342,2.924101
4173.271,2.92829
4175.199,2.928342
4177.127,2.925969
4179.056,2.9268
4180.985,2.929976
4182.913,2.932532
4184.842,2.934943
4186.77,2.935093
4188.699,2.934294
4190.627,2.938054
4192.556,2.943439
4194.484,2.943517
4196.413,2.942454
4198.341,2.946383
4200.27,2.949459
4202.198,2.951411
4204.126,2.950138
4206.055,2.950623
4207.983,2.953754
4209.912,2.958725
4211.841,2.959587
4213.769,2.96106
4215.698,2.962023
4217.626,2.962164
4219.555,2.96947
4221.483,2.971701
4223.412,2.972391
4225.34,2.97443
4227.269,2.973326
4229.197,2.972745
4231.125,2.971909
4233.054,2.976892
4234.982,2.979233
4236.911,2.979406
