Wavenumber,Intensity
3999.706,3.273554
4001.634,3.277749
4003.563,3.280841
4005.491,3.280706
4007.42,3.281434
4009.348,3.284079
4011.277,3.284856
4013.205,3.288016
4015.134,3.287817
4017.062,3.290642
4018.991,3.291297
4020.919,3.285619
4022.848,3.285366
4024.776,3.290463
4026.705,3.294872
4028.633,3.295314
4030.562,3.293762
4032.49,3.296241
4034.419,3.301167
4036.347,3.30162
4038.276,3.296996
4040.204,3.297767
4042.133,3.302906
4044.061,3.30325
4045.99,3.30224
4047.918,3.303382
4049.847,3.304242
4051.775,3.307615
4053.704,3.307385
4055.632,3.308678
4057.561,3.309423
4059.489,3.306786
4061.418,3.30452
4063.346,3.308179
4065.275,3.314425
4067.203,3.314691
4069.132,3.311106
4071.06,3.311001
4072.989,3.314635
4074.917,3.318413
4076.846,3.320978
4078.774,3.319201
4080.703,3.321619
4082.631,3.321361
4084.56,3.322724
4086.488,3.325538
4088.417,3.324787
4090.345,3.324858
4092.274,3.323837
4094.202,3.32391
4096.131,3.322942
4098.059,3.322405
4099.988,3.323928
4101.916,3.327423
4103.845,3.33093
4105.773,3.329325
4107.702,3.329476
4109.63,3.329032
4111.559,3.330095
4113.487,3.330477
4115.416,3.32829
4117.344,3.328999
4119.273,3.329074
4121.201,3.333318
4123.13,3.333535
4125.058,3.332449
4126.987,3.330637
4128.915,3.330494
4130.844,3.332203
4132.772,3.331081
4134.701,3.328657
4136.629,3.334395
4138.558,3.33571
4140.486,3.331096
4142.415,3.333913
4144.343,3.33673
4146.271,3.340063
4148.2,3.340957
4150.129,3.336918
4152.057,3.336965
4153.986,3.339813
4155.914,3.341633
4157.843,3.340582
4159.771,3.337376
4161.7,3.342934
4163.628,3.343925
4165.557,3.342586
4167.485,3.343408
4169.414,3.345046
4171.342,3.348015
4173.271,3.352239
4175.199,3.352937
4177.127,3.35272
4179.056,3.354834
4180.985,3.356406
4182.913,3.360755
4184.842,3.363154
4186.77,3.361938
4188.699,3.360375
4190.627,3.36306
4192.556,3.367793
4194.484,3.369877
4196.413,3.372357
4198.341,3.376725
4200.27,3.381252
4202.198,3.38598
4204.126,3.385033
4206.055,3.384632
4207.983,3.387253
4209.912,3.391541
4211.841,3.396702
4213.769,3.400238
4215.698,3.402199
4217.626,3.402726
4219.555,3.408121
4221.483,3.409826
4223.412,3.411081
4225.34,3.412836
4227.269,3.414863
4229.197,3.415316
4231.125,3.415006
4233.054,3.418833
4234.982,3.418376
4236.911,3.419729
4238.84,3.423271
4240.768,3.427888
4242.697,3.426244
4244.625,3.420667
4246.554,3.421785
4248.482,3.423352
4250.411,3.42578
4252.339,3.423452
4254.268,3.422711
4256.196,3.42439
4258.125,3.426955
4260.053,3.43056
4261.981,3.437518
4263.91,3.442428
4265.838,3.443784
4267.767,3.442724
4269.696,3.443804
4271.624,3.443623
