Wavenumber,Intensity
3999.706,2.383012
4001.634,2.380709
4003.563,2.378454
4005.491,2.379325
4007.42,2.384019
4009.348,2.386151
4011.277,2.383265
4013.205,2.380098
4015.134,2.380679
4017.062,2.384529
4018.991,2.385843
4020.919,2.388366
4022.848,2.38659
4024.776,2.386308
4026.705,2.388231
4028.633,2.388699
4030.562,2.386537
4032.49,2.390795
4034.419,2.390882
4036.347,2.387343
4038.276,2.388304
4040.204,2.396589
4042.133,2.397423
4044.061,2.397986
4045.99,2.396856
4047.918,2.392514
4049.847,2.395195
4051.775,2.399646
4053.704,2.401205
4055.632,2.401667
4057.561,2.401576
4059.489,2.401129
4061.418,2.40181
4063.346,2.403734
4065.275,2.401936
4067.203,2.400986
4069.132,2.405422
4071.06,2.406073
4072.989,2.40316
4074.917,2.405003
4076.846,2.405705
4078.774,2.409705
4080.703,2.406718
4082.631,2.402859
4084.56,2.404203
4086.488,2.40526
4088.417,2.404259
4090.345,2.405298
4092.274,2.408681
4094.202,2.407685
4096.131,2.404387
4098.059,2.405211
4099.988,2.409812
4101.916,2.411561
4103.845,2.413035
4105.773,2.412861
4107.702,2.412489
4109.63,2.411391
4111.559,2.412428
4113.487,2.413192
4115.416,2.415144
4117.344,2.41598
4119.273,2.413723
4121.201,2.412289
4123.13,2.413338
4125.058,2.415065
4126.987,2.416049
4128.915,2.414589
4130.844,2.414165
4132.772,2.417934
4134.701,2.419821
4136.629,2.415259
4138.558,2.412952
4140.486,2.417719
4142.415,2.421647
4144.343,2.417794
4146.271,2.415934
4148.2,2.418595
4150.129,2.420148
4152.057,2.4205
4153.986,2.418811
4155.914,2.419445
4157.843,2.419573
4159.771,2.420085
4161.7,2.421009
4163.628,2.420686
4165.557,2.422626
4167.485,2.425036
4169.414,2.425537
4171.342,2.427964
4173.271,2.428479
4175.199,2.430472
4177.127,2.433589
4179.056,2.434011
4180.985,2.435611
4182.913,2.434464
4184.842,2.435333
4186.77,2.435927
4188.699,2.43923
4190.627,2.443652
4192.556,2.443437
4194.484,2.44672
4196.413,2.449701
4198.341,2.446195
4200.27,2.446239
4202.198,2.450956
4204.126,2.455716
4206.055,2.457541
4207.983,2.458919
4209.912,2.463392
4211.841,2.465956
4213.769,2.466722
4215.698,2.469178
4217.626,2.470232
4219.555,2.469701
4221.483,2.472542
4223.412,2.476083
4225.34,2.47276
4227.269,2.473065
4229.197,2.480467
4231.125,2.48138
4233.054,2.47987
4234.982,2.483896
4236.911,2.487798
4238.84,2.48503
4240.768,2.481362
4242.697,2.481577
4244.625,2.479984
4246.554,2.481301
4248.482,2.479047
4250.411,2.476455
4252.339,2.477658
4254.268,2.481454
4256.196,2.486775
4258.125,2.492417
4260.053,2.493199
4261.981,2.491409
4263.91,2.49324
4265.838,2.495699
4267.767,2.497205
4269.696,2.499259
4271.624,2.499865
4273.553,2.503193
4275.481,2.505709
4277.41,2.50725
4279.338,2.506803
4281.267,2.507782
