Wavenumber,Intensity
3999.706,1.48663
4001.634,1.483667
4003.563,1.483676
4005.491,1.483422
4007.42,1.485716
4009.348,1.491251
4011.277,1.488476
4013.205,1.484539
4015.134,1.481598
4017.062,1.486251
4018.991,1.487459
4020.919,1.489717
4022.848,1.490461
4024.776,1.490317
4026.705,1.489431
4028.633,1.490316
4030.562,1.48828
4032.49,1.490562
4034.419,1.488142
4036.347,1.483167
4038.276,1.48423
4040.204,1.489441
4042.133,1.487095
4044.061,1.489672
4045.99,1.493871
4047.918,1.491962
4049.847,1.492492
4051.775,1.492031
4053.704,1.486718
4055.632,1.485705
4057.561,1.490074
4059.489,1.4907
4061.418,1.489915
4063.346,1.492295
4065.275,1.490567
4067.203,1.488767
4069.132,1.492103
4071.06,1.49362
4072.989,1.495831
4074.917,1.499988
4076.846,1.500056
4078.774,1.502558
4080.703,1.501304
4082.631,1.496921
4084.56,1.493738
4086.488,1.495207
4088.417,1.499057
4090.345,1.497931
4092.274,1.503015
4094.202,1.507512
4096.131,1.508251
4098.059,1.508047
4099.988,1.509757
4101.916,1.509159
4103.845,1.507562
4105.773,1.507327
4107.702,1.506833
4109.63,1.505404
4111.559,1.504128
4113.487,1.503208
4115.416,1.505158
4117.344,1.506417
4119.273,1.507578
4121.201,1.50554
4123.13,1.506537
4125.058,1.506255
4126.987,1.508908
4128.915,1.50858
4130.844,1.507664
4132.772,1.510994
4134.701,1.511457
4136.629,1.512003
4138.558,1.511954
4140.486,1.512118
4142.415,1.511953
4144.343,1.510454
4146.271,1.506348
4148.2,1.50661
4150.129,1.50846
4152.057,1.510505
4153.986,1.508841
4155.914,1.511578
4157.843,1.509656
4159.771,1.51027
4161.7,1.511861
4163.628,1.510413
4165.557,1.510415
4167.485,1.514784
4169.414,1.514121
4171.342,1.510588
4173.271,1.51206
4175.199,1.514696
4177.127,1.518809
4179.056,1.519527
4180.985,1.519145
4182.913,1.521136
4184.842,1.524068
4186.77,1.523385
4188.699,1.521309
4190.627,1.520977
4192.556,1.519499
4194.484,1.5258
4196.413,1.529338
4198.341,1.524337
4200.27,1.523489
4202.198,1.524411
4204.126,1.528656
4206.055,1.527668
4207.983,1.528682
4209.912,1.528921
4211.841,1.530552
4213.769,1.530573
4215.698,1.533973
4217.626,1.533719
4219.555,1.533418
4221.483,1.53596
4223.412,1.533819
4225.34,1.533681
4227.269,1.536572
4229.197,1.54159
4231.125,1.540015
4233.054,1.536743
4234.982,1.535579
4236.911,1.538248
4238.84,1.539541
4240.768,1.537775
4242.697,1.537558
4244.625,1.536539
4246.554,1.535697
4248.482,1.537691
4250.411,1.538378
4252.339,1.540386
4254.268,1.541721
4256.196,1.539612
4258.125,1.540126
4260.053,1.545589
4261.981,1.54822
4263.91,1.549293
4265.838,1.55109
4267.767,1.552629
4269.696,1.549132
4271.624,1.547783
4273.553,1.552101
4275.481,1.549668
4277.41,1.54808
4279.338,1.549907
4281.267,1.554277
4283.195,1.556004
4285.124,1.553217
4287.052,1.552401
4288.98,1.554049
4290.909,1.554888
4292.837,1.555221
4294.766,1.5558
4296.694,1.556863
4298.623,1.555592
4300.552,1.554237
4302.48,1.553377
4304.409,1.553602
4306.337,1.549999
4308.266,1.550539
4310.194,1.552344
4312.123,1.552274
4314.051,1.54912
4315.979,1.549139
4317.908,1.551971
4319.836,1.552042
4321.765,1.55059
4323.693,1.548488
4325.622,1.550431
4327.551,1.551041
4329.479,1.552575
4331.408,1.548762
4333.336,1.549872
4335.265,1.552604
4337.193,1.552891
4339.122,1.555498
4341.05,1.559034
4342.979,1.560338
4344.907,1.559833
4346.835,1.554361
4348.764,1.557491
4350.692,1.563811
4352.621,1.567778
4354.549,1.569311
4356.478,1.567102
4358.407,1.564338
4360.335,1.566107
4362.264,1.565357
4364.192,1.563402
4366.121,1.564104
4368.049,1.566268
4369.978,1.566535
4371.906,1.567082
4373.834,1.567928
4375.763,1.568875
4377.691,1.565665
4379.62,1.563611
4381.548,1.564462
4383.477,1.563733
4385.405,1.561859
4387.334,1.557665
4389.263,1.559337
4391.191,1.560263
4393.12,1.560757
4395.048,1.558484
4396.977,1.557134
4398.905,1.5611
4400.833,1.564656
4402.762,1.564351
4404.69,1.563906
4406.619,1.564193
4408.547,1.563933
4410.476,1.568434
4412.404,1.569863
4414.333,1.567558
4416.262,1.566078
4418.19,1.570652
4420.119,1.573681
4422.047,1.576352
4423.976,1.578925
4425.904,1.580094
4427.833,1.58625
4429.761,1.592957
4431.689,1.596179
4433.618,1.603727
4435.546,1.614516
4437.475,1.629375
4439.403,1.645508
4441.332,1.657806
